id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
121,A dirt dog runs down a muddy shore.,A dog is running down the shore.,A canine is dashing along the shoreline.,"Down the shore, a dog is running.",It seems that a dog is running down the shore.,entailment,A dog being on the shore implies that he is muddy.
122,A woman is looking on the food she kept in the glass box.,The woman is cleaning,The woman is tidying up.,Cleaning is being performed by the woman.,The woman seems to be cleaning.,contradiction,cleaning is different from looking on the food
123,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.",They are preparing to take the ride.,They are getting ready to go on the ride.,Their preparation is for taking the ride.,It appears they are preparing to take the ride.,neutral,Standing near a ride does not mean they are preparing to take the ride.
124,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,A young girl is picking out her favorite fabric.,A young girl is choosing her most liked fabric.,Her favorite fabric is being chosen by a young girl.,A young girl seems to be picking out her favorite fabric.,neutral,That a girl is surrounded by fabrics doesn´t mean she is picking out her favorite fabric.
125,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,A tower shines its orange light.,A tower emits its orange light.,The orange light from a tower is shining.,A tower apparently shines its orange light.,entailment,Two women looking towards a orange light tower in snow
126,Female performers wearing white stage makeup and costumes with a dark background.,fish sleeps,An aquatic animal slumbers.,It is the case that fish sleep.,It appears that fish sleep.,contradiction,The subjects can be either female performers or a fish that sleeps.
127,Walkers at an event in a park.,People are walking to raise money for charity,Individuals are strolling to collect funds for a good cause.,"For the purpose of raising money for charity, people are walking.",It seems that people are walking to raise money for charity.,neutral,"Just because people are walking in a park for an event, it doesn't mean that they are raising money for charity."
128,Two people making funny faces at each other.,Two people are facing each other,Two individuals are looking at one another.,Two people have their faces towards each other.,It appears that two people are facing each other.,entailment,Not all the people are are facing are making funny faces
129,Students sitting outside in a forest with books and pencils.,The students had their books and pencils ready as they sat outside in the forest.,The students possessed their books and pencils prepared while they were seated outdoors in the woods.,"Sitting outside in the forest, the students had their books and pencils ready.",It appears that the students had their books and pencils ready as they sat outside in the forest.,entailment,Both say that the students say outside in the forest.
130,A man standing in the water.,The man is standing in a pool.,The individual is standing in a pool.,Standing in a pool is the man.,The man seems to be standing in a pool.,neutral,We don't know if the water is a pool.
131,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,A woman and a man are clothed.,A woman and a man are dressed.,"There is a woman and a man, and both are clothed.",It seems that a woman and a man are clothed.,entailment,Wearing a coat is being clothed.
132,A little boy is playing on a playground rocking toy.,a young blonde boy plays outside,a little blonde boy is playing outdoors,"Outside, a young blonde boy plays.",A young blonde boy seems to be playing outside.,neutral,NOT ALL BOYS ARE BLONDE AND HE MAY NOT BE PLAYING OUTSIDE ON THE TOY.
133,A man plays guitar in an outside theater.,A man is scuba diving at the reef.,A gentleman is underwater diving by the coral reef.,"At the reef, a man is engaged in scuba diving.",It seems that a man is scuba diving at the reef.,contradiction,Someone playing guitar is not a scuba diver.
134,A woman stands on the curb next to a busy street.,the woman is white,The woman is Caucasian.,The woman's race is white.,The woman appears to be white.,neutral,Not all women are white.
135,Two men in a kitchen holding an object.,There are men making cupcakes.,There are men baking cupcakes.,Cupcakes are being made by men.,There seem to be men making cupcakes.,neutral,The object not necessarily be cupcakes
