id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
27,Two children walking down a path in the woods.,Two _____ walking down a path in the _____,_____ children walking down a path in _____ woods.,_____ children _____ _____ _____ _____ _____ _____ woods.,_____ _____ _____ _____ _____ path in _____ _____,0.2222,Two children walking down a path _____ _____ _____,Two _____ walking down _____ _____ in the woods.,_____ _____ _____ _____ _____ _____ in the woods.,_____ children _____ down _____ _____ _____ _____ woods.,0.3333,_____ _____ walking down a path in the _____,Two children walking _____ a _____ in _____ woods.,Two children _____ _____ _____ _____ _____ _____ woods.,Two _____ _____ down a _____ _____ _____ _____,0.3333,Two children walking down a path _____ _____ _____,Two children _____ _____ _____ path in the woods.,_____ _____ _____ _____ _____ _____ in the woods.,Two _____ _____ _____ a _____ in _____ _____,0.3333
28,Young people are playing in the snow while an older person seems to be taking pictures.,Young people are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people are playing in the snow _____ _____ older person seems _____ be taking _____,_____ _____ _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ people _____ _____ _____ the snow _____ _____ _____ _____ _____ _____ _____ _____ pictures.,0.2500,Young people are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people are playing in the snow while an _____ _____ _____ to be _____ pictures.,_____ _____ _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ the _____ _____ _____ older person _____ _____ _____ _____ pictures.,0.2500,Young people are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young _____ are playing in the snow _____ an older person _____ _____ be taking pictures.,_____ _____ _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ playing in _____ _____ _____ an _____ _____ seems _____ _____ _____ _____,0.2500,_____ _____ _____ _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people are playing in the snow _____ _____ _____ _____ _____ to _____ _____ pictures.,Young people are playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ in the snow _____ an older person _____ _____ be _____ _____,0.4375
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,_____ in blue jacket on a bike on a dirt course with people _____ from behind a red and white barrier.,Person _____ blue jacket on a bike on _____ dirt course with people looking from behind a red and white barrier.,Person _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ looking _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ on _____ bike _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0952,_____ in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,Person in blue _____ on a bike on a dirt course with people looking from behind a red and white barrier.,Person _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ looking _____ _____ _____ _____ _____ _____ _____,0.0476,_____ in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,Person in _____ jacket on a bike on a dirt course with people looking from behind a red and white barrier.,Person _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ people _____ _____ _____ _____ _____ _____ _____ _____,0.0476,_____ in blue jacket _____ _____ _____ on a dirt course with _____ _____ from behind a red and white barrier.,Person _____ _____ jacket on a bike _____ a _____ course with people looking _____ behind a red and _____ barrier.,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ _____ _____ _____ _____ _____ _____,Person _____ _____ _____ _____ a _____ _____ _____ dirt _____ _____ people _____ _____ _____ _____ _____ and white _____,0.2857
30,A band is practicing their routine.,A band is _____ _____ _____,_____ _____ _____ practicing their routine.,_____ _____ _____ practicing their routine.,_____ band is _____ _____ routine.,0.5000,A band is _____ _____ _____,_____ _____ _____ practicing their routine.,_____ _____ _____ practicing their routine.,_____ _____ is practicing their _____,0.5000,A band is _____ their routine.,A _____ is practicing their routine.,_____ _____ _____ practicing _____ _____,_____ _____ _____ practicing _____ _____,0.1667,A band is _____ _____ _____,_____ _____ _____ practicing their routine.,_____ _____ _____ practicing their routine.,_____ band _____ practicing _____ routine.,0.5000
31,A laboratory worker making a phone call.,A _____ _____ _____ _____ _____ _____,_____ laboratory worker making a phone call.,_____ laboratory worker making a phone call.,A laboratory worker making a _____ call.,0.8571,_____ _____ _____ _____ _____ _____ _____,A laboratory worker making a phone call.,A laboratory worker making a phone call.,A laboratory worker making a phone call.,1.0000,A laboratory _____ _____ _____ _____ _____,_____ _____ worker making a phone call.,_____ _____ worker making a phone call.,A laboratory worker _____ _____ phone call.,0.7143,_____ _____ _____ _____ _____ _____ _____,A laboratory worker making a phone call.,A laboratory worker making a phone call.,A laboratory worker making a phone call.,1.0000
32,A man in a yellow shirt is on a roof hammering in shingles.,_____ _____ in a yellow shirt is _____ _____ _____ _____ _____ _____,A man _____ _____ _____ _____ _____ on a roof hammering in shingles.,A man _____ _____ _____ _____ _____ on a roof hammering in shingles.,A man in a _____ _____ is on _____ roof _____ in _____,0.6154,A man in a yellow shirt is on a roof _____ _____ _____,A _____ in a yellow shirt _____ on a _____ hammering in shingles.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ hammering in shingles.,_____ _____ _____ a _____ _____ _____ _____ _____ roof hammering _____ _____,0.2308,A man in a yellow shirt is _____ _____ _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ on a roof hammering in shingles.,_____ _____ _____ _____ _____ _____ _____ on a roof hammering in shingles.,_____ _____ _____ a _____ _____ is on _____ _____ hammering in shingles.,0.4615,A _____ in a yellow shirt is _____ _____ _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ on a roof hammering in shingles.,_____ man _____ _____ _____ _____ _____ on a roof hammering in shingles.,A man in a _____ _____ is _____ _____ roof hammering _____ _____,0.5385
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,Three brown-haired women in brown and green skirts lean against a metal fence _____ _____ _____ _____,Three _____ women in brown and green skirts lean against _____ _____ _____ staring to the left.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ staring to the left.,Three _____ _____ _____ _____ _____ _____ _____ lean _____ _____ _____ _____ _____ to _____ left.,0.2353,Three brown-haired women in brown and green skirts _____ _____ a _____ _____ _____ _____ _____ _____,_____ _____ _____ in _____ _____ _____ _____ lean against _____ metal fence staring to the left.,_____ _____ _____ _____ _____ _____ _____ _____ lean against _____ metal fence staring to the left.,_____ _____ women in _____ _____ _____ skirts lean _____ a _____ fence _____ to _____ left.,0.4706,Three brown-haired women in brown and green skirts _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ lean against a metal fence staring to the left.,_____ _____ _____ _____ _____ _____ _____ _____ lean against a metal fence staring to the left.,_____ _____ _____ _____ _____ _____ green skirts lean against a metal fence staring to _____ _____,0.5294,Three brown-haired women in brown and green skirts lean against a metal fence _____ _____ _____ _____,Three brown-haired _____ in brown and _____ _____ _____ against a metal fence staring to the left.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ staring to the left.,_____ _____ _____ _____ brown and _____ skirts _____ _____ _____ _____ _____ _____ _____ the _____,0.2353
34,Man on a motorcycle performing a trick high in the air.,Man on a _____ performing a trick high in the air.,Man on _____ motorcycle performing a trick high in the air.,_____ _____ _____ motorcycle _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ motorcycle _____ _____ _____ _____ _____ _____ _____,0.0909,Man on a _____ performing a trick high in the air.,Man on a motorcycle performing _____ trick high in the air.,_____ _____ _____ motorcycle _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ air.,0.0909,Man on a _____ performing a trick high in the air.,Man on a motorcycle performing a trick high _____ the air.,_____ _____ _____ motorcycle _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ performing _____ _____ _____ _____ _____ _____,0.0909,Man on _____ _____ performing a trick high in the air.,Man _____ a motorcycle performing _____ trick high in the air.,_____ _____ a motorcycle _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ high in _____ _____,0.1818
35,Two dogs playing in a yard.,Two _____ playing _____ _____ _____,_____ dogs _____ in a yard.,_____ dogs _____ in a yard.,_____ dogs playing _____ a yard.,0.6667,Two dogs playing _____ _____ _____,_____ _____ _____ in a yard.,_____ _____ _____ in a yard.,Two dogs playing _____ _____ _____,0.5000,Two dogs playing _____ _____ _____,_____ _____ _____ in a yard.,_____ _____ _____ in a yard.,_____ _____ playing _____ a yard.,0.5000,Two dogs playing _____ _____ _____,_____ _____ _____ in a yard.,_____ _____ _____ in a yard.,Two dogs _____ _____ a _____,0.5000
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","A balding _____ in a dark suit and maroon tie, with a mustache and beard, _____ _____ as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","A balding man in a dark suit and maroon tie, with a mustache and _____ plays bagpipes, as a young blond woman standing next to him in a light blue crop top and _____ _____ and sticks her tongue out.","_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ plays bagpipes, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ _____ _____ _____ _____ _____ _____ _____ _____ tie, _____ _____ _____ _____ beard, _____ _____ _____ _____ _____ _____ _____ _____ _____ to _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",0.0750,"A balding _____ in a dark suit and maroon tie, with a mustache and beard, _____ _____ as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","A balding man in _____ dark suit and maroon tie, with _____ mustache and beard, plays bagpipes, as a young blond woman standing next to him in a _____ blue crop top and skirt listens and sticks her tongue out.","_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ plays bagpipes, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ _____ _____ _____ a _____ _____ _____ _____ tie, _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",0.0750,"A balding _____ in a dark suit and maroon tie, with a mustache and beard, _____ _____ as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","_____ balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a _____ blond woman standing next to him in _____ light blue crop top and skirt listens and sticks her tongue out.","_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ plays bagpipes, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ woman _____ _____ _____ _____ in _____ _____ _____ _____ _____ _____ _____ listens _____ _____ _____ _____ _____,0.0750,"A balding _____ in a dark suit and maroon tie, with a mustache and beard, _____ _____ as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond _____ standing next to him in a light blue _____ top _____ skirt listens and sticks her tongue out.","_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ plays bagpipes, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",_____ _____ _____ in _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in _____ _____ blue _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0750
